E1,E2,E3,n1,n2
0.7991436939669945,0.9432111384837795,1.4721210572768872,0.0009744380629469403,0.0007194633481934384
0.8199734544658359,0.949052910310631,1.494721960844524,0.0007201410894539275,0.0006272330505879393
0.8128297849805199,0.9649138962612428,1.4219249839479282,0.0008228466895490153,0.0007609100206244899
0.7949370528608192,0.9436109800331535,1.4852748713434631,0.0009300122765402083,0.0008573805862405058
0.8042139974803146,0.9455601804035393,1.4123835799675295,0.0010927462431758583,0.0008338589050999802
0.8265143653709716,0.9456564872438148,1.4308674549263976,0.0009826364317209785,0.0007988169505521181
0.7857332075660693,0.9720593008272546,1.477213155874009,0.001000284591589681,0.0010392365265937727
0.8057108737114382,0.9718678608897379,1.4071395789932208,0.0010688222711102285,0.000841291216030878
0.8226593625870554,0.9600405389787887,1.44579793839434,0.0009120463656990948,0.0008978736005937347
0.8013325959773491,0.9538618639917485,1.4241473531242095,0.001028362732380729,0.0010238143338497953
