Energy,Displacements
10000.0,22.067229366415713
15000.0,30.342569230538142
20000.0,34.88577718770215
25000.0,34.88577718770215
30000.0,50.708416995997815
35000.0,55.998195437978175
40000.0,67.42502881245213
45000.0,79.92003943342371
50000.0,79.55916100456314
55000.0,88.65925782855392
60000.0,100.02498389902395
65000.0,99.39465828705283
70000.0,94.54890076568843
75000.0,126.48939305728365
80000.0,131.37291615854465
85000.0,118.16675760974404
90000.0,151.91772873499656
95000.0,149.48638427629453
100000.0,149.48638427629453
105000.0,132.1289452618161
110000.0,207.59553374530964
115000.0,179.49896127833162
120000.0,140.45365840375965
125000.0,188.46305343753718
130000.0,178.87597667378367
135000.0,148.18541055043173
140000.0,169.3808457618511
145000.0,238.76323455674662
150000.0,231.68089373964355
